Name,BSE Code,NSE Code,Industry Group,Industry,Current Price,Market Capitalization,Sales,Operating profit,OPM,OPM last year,Price to Earning,Price to book value,PEG Ratio,Return on assets,Debt to equity,Return on equity,Working capital,Other income,Trade receivables,Trade Payables,Inventory,Earnings yield,Change in DII holding,Change in FII holding,Debt to EBIT,Down from 52w high
Ashok Leyland,500477,ASHOKLEY,"Agricultural, Commercial & Construction Vehicles",Commercial Vehicles,148.95,87491.06,50976.16,9941.54,19.50,18.97,26.17,6.95,0.09,4.47,4.33,28.82,8877.88,303.53,3406.86,6746.75,4611.09,6.75,-0.29,0.47,5.90,2.65
Asian Paints,500820,ASIANPAINT,Consumer Durables,Paints,2874.00,275673.44,34378.17,6201.28,18.04,17.71,68.60,14.08,8.17,13.18,0.18,20.59,9711.65,598.81,4423.82,3375.26,6010.83,2.09,0.52,-0.21,0.61,1.81
AU Small Finance,540611,AUBANK,Banks,Other Bank,953.75,71212.71,17273.80,8933.99,51.72,53.37,32.76,3.92,1.42,1.58,7.87,14.19,5735.08,2902.27,0.00,0.00,0.00,5.68,3.05,-3.18,12.07,0.92
Autoriders Intl.,512277,,Transport Services,Logistics Solution Provider,849.45,295.68,93.09,25.73,27.64,28.79,34.87,5.54,0.88,10.00,0.34,19.99,3.26,0.87,18.24,4.98,0.00,4.53,0.00,0.00,1.29,0.00
Avishkar Infra,508929,,Realty,"Residential, Commercial Projects",699.85,1567.89,2.40,1.85,77.08,77.08,486.92,116.75,,9.77,1.48,148.05,30.24,2.20,2.11,3.61,38.98,0.19,0.00,0.00,6.50,1.97
Axis Bank,532215,AXISBANK,Banks,Private Sector Bank,1290.20,400457.65,129272.60,77132.26,59.67,63.58,15.41,2.02,0.60,1.78,7.28,16.30,81517.79,29815.46,0.00,0.00,0.00,6.01,1.65,-1.92,13.49,0.22
Axis Solution,511144,,IT - Software,Computers - Software & Consulting,58.53,276.61,211.79,26.18,12.36,18.43,11.86,2.26,0.02,21.00,0.40,39.84,80.42,1.91,72.82,29.40,60.94,8.31,0.00,0.00,1.83,0.00
Bajaj Auto,532977,BAJAJ-AUTO,Automobiles,2/3 Wheelers,9164.00,255911.67,54683.29,10730.21,19.62,18.74,30.72,7.49,2.96,15.63,0.58,22.77,-1347.55,1824.54,3099.19,7666.69,2145.55,4.42,0.77,-0.64,1.63,3.44
Bank of Baroda,532134,BANKBARODA,Banks,Public Sector Bank,288.40,149142.09,131574.32,83732.48,63.64,64.41,7.75,0.94,0.20,1.18,10.53,15.53,100587.07,22892.16,0.00,0.00,0.00,6.02,0.14,0.63,15.69,2.22
Bank of India,532149,BANKINDIA,Banks,Public Sector Bank,148.85,67766.46,73784.35,53001.26,71.83,71.03,6.76,0.81,0.16,0.94,11.67,12.35,76612.57,9145.57,0.00,0.00,0.00,6.23,-0.34,0.71,15.56,1.70
Bank of Maha,532525,MAHABANK,Banks,Public Sector Bank,59.95,46110.87,27237.84,17719.17,65.05,62.68,7.58,1.47,0.11,1.64,10.66,22.81,16792.12,3439.62,0.00,0.00,0.00,5.82,-0.34,0.46,15.82,2.62
Berger Paints,509480,BERGEPAINT,Consumer Durables,Paints,575.65,67114.73,11707.34,1780.16,15.21,16.08,60.71,10.69,4.89,13.39,0.11,20.26,2498.02,93.55,1848.89,1656.38,2222.41,2.29,0.26,-0.24,0.45,4.85
Bharat Electron,500049,BEL,Aerospace & Defense,Aerospace & Defense,415.30,303575.11,25152.11,7425.99,29.52,28.76,53.30,14.08,1.76,13.21,0.00,29.22,16495.15,698.26,10590.70,2907.66,10211.08,2.58,0.28,-0.42,0.01,4.75
Bharat Forge,500493,BHARATFORG,Auto Components,Auto Components & Equipments,1431.30,68428.83,15268.83,2695.80,17.66,17.80,63.31,7.31,80.14,4.72,0.71,11.58,938.31,198.40,3092.39,2763.49,4010.72,2.68,0.85,-0.75,3.35,2.01
Bharti Airtel,532454,BHARTIARTL,Telecom - Services,Telecom - Cellular & Fixed line services,2126.80,1275931.11,194613.50,109005.50,56.01,49.17,39.62,10.30,0.48,5.35,1.77,23.18,-104864.50,11478.70,8908.90,45232.60,429.60,4.33,0.31,0.70,3.28,2.20
BSE,,BSE,Capital Markets,Exchange and Data Platform,2886.70,117575.02,3698.51,2082.97,56.32,58.41,65.40,22.53,0.93,14.03,0.00,36.04,3129.92,436.40,411.34,137.47,0.00,2.11,8.64,-1.89,0.00,4.73
Can Fin Homes,511196,CANFINHOME,Finance,Housing Finance Company,889.85,11848.72,4054.47,3728.00,91.95,92.25,12.86,2.17,0.58,2.20,6.61,18.22,213.97,1.18,0.75,3.26,0.00,7.79,-0.65,0.42,9.72,3.80
Canara Bank,532483,CANBK,Banks,Public Sector Bank,150.16,136204.90,125841.25,76573.02,60.85,62.10,7.12,1.18,0.17,1.08,14.05,17.75,149779.90,33467.06,0.00,0.00,0.00,6.64,0.82,0.51,14.47,1.53
