Name,BSE Code,NSE Code,ISIN Code,Industry Group,Industry,Current Price,RSI,Market Capitalization,Sales,Operating profit,OPM,OPM last year,Price to Earning,Price to book value,PEG Ratio,Return on assets,Debt to equity,Return on equity,Working capital,Other income,Trade receivables,Trade Payables,Inventory,Earnings yield,Change in DII holding,Change in FII holding,Debt to EBIT,Dividend yield,Down from 52w high
Inox Wind,539083.0,INOXWIND,INE066P01011,Electrical Equipment,Heavy Electrical Equipment,96.15,45.54,16617.03,4427.7,947.32,21.4,21.29,33.15,2.52,0.76,5.77,0.17,11.69,3486.52,146.4,3271.08,924.71,1455.26,5.2,0.59,0.44,1.28,0.0,51.47
Insolation Ener,543620.0,INA,INE0LGX01024,Power,Power Generation,130.32,40.8,2872.19,1498.48,182.38,12.17,12.09,16.19,4.16,0.1,22.76,0.37,34.87,206.93,20.69,237.65,139.18,181.77,6.91,0.19,0.3,1.36,0.08,53.79
Interiors & More,,INM,INE0OPC01015,Consumer Durables,"Furniture, Home Furnishing",166.6,46.48,233.09,63.26,17.18,27.16,29.85,21.36,3.33,,13.81,0.71,19.56,55.43,0.24,19.9,3.9,60.21,5.48,0.0,-0.53,3.2,0.29,51.64
Kamat Hotels,526668.0,KAMATHOTEL,INE967C01018,Leisure Services,Hotels & Resorts,163.69,40.53,482.58,385.63,96.85,25.11,25.11,11.27,1.52,-0.63,6.08,0.74,14.38,5.46,14.17,15.19,14.84,4.86,12.52,0.0,0.16,2.81,0.0,55.63
Kay Cee,,KCEIL,INE0RCG01017,Construction,Civil Construction,114.7,48.48,140.21,164.3,31.77,19.34,19.34,7.46,1.36,0.15,9.13,0.73,22.82,97.27,1.29,33.49,23.25,48.17,16.11,-0.51,0.0,2.29,0.0,70.44
Kellton Tech,519602.0,KELLTONTEC,INE164B01030,IT - Services,IT Enabled Services,15.1,39.1,802.4,1189.38,139.75,11.75,11.63,8.76,1.08,2.08,11.0,0.18,16.29,603.46,3.73,362.78,21.41,0.28,15.11,0.0,-0.17,1.02,0.0,54.45
Khaitan Chemical,507794.0,KHAICHEM,INE745B01028,Fertilizers & Agrochemicals,Fertilizers,56.5,45.37,547.97,1001.63,113.0,11.28,11.28,7.95,1.88,0.35,10.56,1.05,26.79,177.59,-2.66,62.38,55.13,223.44,12.71,0.0,0.02,2.92,0.0,58.46
Kimia Bioscien.,530313.0,,INE285U01025,Pharmaceuticals & Biotechnology,Pharmaceuticals,35.5,53.18,167.97,125.92,19.79,15.72,17.03,18.55,14.51,0.28,9.1,3.11,186.78,-6.2,1.06,28.18,47.87,34.65,8.36,0.0,0.0,2.1,0.0,59.12
Kore Digital,,KDL,INE0O4R01018,Telecom - Services,Telecom - Infrastructure,135.4,43.8,162.8,493.81,72.86,14.75,14.49,3.33,1.25,,16.13,0.05,35.48,72.22,0.11,224.09,151.17,13.59,37.4,-0.02,0.0,0.1,0.0,63.88
KPT Industries,505299.0,,INE731D01024,Industrial Manufacturing,Industrial Products,481.0,38.17,163.52,163.39,23.36,14.3,15.97,12.95,2.21,0.38,11.89,0.21,22.5,49.3,-0.01,35.62,16.24,47.32,12.0,0.0,0.14,0.74,0.61,53.21
Laxmi Dental,544339.0,LAXMIDENTL,INE0WO601020,Healthcare Equipment & Supplies,Medical Equipment & Supplies,204.24,47.8,1122.54,264.58,39.42,14.9,17.84,41.84,4.89,0.6,12.31,0.04,21.88,91.8,2.45,42.24,8.91,19.09,2.94,-0.3,-1.25,0.28,0.0,59.95
Loyal Equipments,539227.0,,INE876S01017,Industrial Manufacturing,Industrial Products,160.9,33.42,173.61,78.98,12.27,15.54,15.54,25.8,3.07,6.32,8.0,0.31,12.53,24.13,0.99,19.93,9.88,28.4,5.69,0.01,0.0,1.68,0.6,55.78
